# "A Modern Mean Dwarf Stellar Color and Effective Temperature Sequence"
# http://www.pas.rochester.edu/~emamajek/EEM_dwarf_UBVIJHK_colors_Teff.txt
# Eric Mamajek
# Version 2022.04.16
#
# Much of the original content of this table was incorporated into
# Table 5 of Pecaut & Mamajek (2013, ApJS, 208, 9;
# http://adsabs.harvard.edu/abs/2013ApJS..208....9P), so that
# reference should be cited until an updated version of the table is
# published.  Parts of this table for A/F/G stars also appeared in
# Table 3 of Pecaut, Mamajek, & Bubar (2012, ApJ 756, 154).  For
# example, Table 5 of Pecaut & Mamajek did not include the absolute
# magnitude and luminosity estimates, nor the properties of dwarfs of
# types L, T, Y, or O3-O8.
# The author's notes on standard stars and mean parameters for stars
# for each dwarf spectral type can be found in the directory at:
# http://www.pas.rochester.edu/~emamajek/spt/. See further notes and
# caveats after the table. Colors are based on Johnson UBV, Tycho
# BtVt, Cousins RcIc, Gaia DR2 G/Bp/Rp, Sloan izY, 2MASS JHKs,
# MKO JK (for Y dwarfs), WISE W1/W2/W3/W4 photometry.
# G-V color is Gaia DR2 G - Johnson V.
#
SpT   Teff  logT   BCv    logL   Mbol R_Rsun   Mv    B-V    Bt-Vt  G-V    Bp-Rp  G-Rp   M_G    b-y    U-B    V-Rc   V-Ic   V-Ks   J-H    H-Ks   M_J    M_Ks   Ks-W1   W1-W2  W1-W3  W1-W4   g-r   i-z  z-Y  Msun  _SpT  
T1V    1240  3.093 ...    -4.69  16.47  0.100  ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ...    1.02   0.45  14.63  13.29   0.58    0.82   ...    ...      ...  3.55 1.33 ...   T1V    
T2V    1220  3.086 ...    -4.73  16.57  0.100  ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ...    0.86   0.27  14.52  13.45   0.53    0.99   ...    ...      ...  3.70 1.43 ...   T2V    
T3V    1200  3.079 ...    -4.77  16.67  0.102  ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ...    0.68   0.08  14.45  13.52   ...     1.19   ...    ...      ...  3.82 1.55 ...   T3V    
T4V    1180  3.072 ...    -4.84  16.84  0.101  ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ...    0.35  -0.19  14.55  14.20   ...     1.43   ...    ...      ...  3.90 1.68 ...   T4V    
T4.5V  1170  3.068 ...    -4.90  16.99  0.099  ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ...    0.2   -0.06  14.69  14.55   ...     1.57   ...    ...      ...  3.93 1.75 ...   T4.5V 
T5V    1160  3.064 ...    -4.95  17.12  0.101  ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ...    0.2   -0.08  14.88  14.9    ...     1.70   ...    ...      ...  3.95 1.81 ...   T5V    
T5.5V  1040  3.017 ...    -5.04  17.34  0.099  ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ...    0.2   -0.10  15.13  15.1    ...     1.86   ...    ...      ...  3.97 1.89 ...   T5.5V 
T6V     950  2.978 ...    -5.12  17.54  0.100  ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ...    0.1   -0.03  15.34  15.3    ...     2.0    ...    ...      ...  3.98 1.96 ...   T6V
T7V     825  2.916 ...    -5.37  18.17  0.098  ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ...    0.0    0.00  15.83  15.8    ...     2.4    ...    ...      ...  4.01 2.11 ...   T7V    
T7.5V   750  2.875 ...    -5.54  18.59  0.095  ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ...    0.2   -0.05  16.61  16.5    ...     2.6    ...    ...      ...  4.05 2.19 ...   T7.5V 
T8V     680  2.833 ...    -5.71  19.02  0.095  ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ...    0.2   -0.05  17.30  16.9    ...     2.8    ...    ...      ...  4.08 2.26 ...   T8V    
T8.5V   600  2.778 ...    -5.93  19.57  0.097  ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ...    0.2    ...   18.05  18.3    ...     3.0    ...    ...      ...  ...  ...  ...   T8.5V 
T9V     560  2.748 ...    -6.15  20.12  0.100  ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ...    0.1   -0.20  18.51  18.6    ...     3.2    ...    ...      ...  ...  ...  ...   T9V    
T9.5V   510  2.708 ...     ...   ...    ...    ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ...    ...    ...   19.75  20.5    ...     3.4    ...    ...      ...  ...  ...  ...   T9.5V 
Y0V     450  2.653 ...    -6.52  21.04  0.104  ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ...    ...   -0.5   20.15  21.0    ...     3.6    ...    ...      ...  ...  ...  ...   Y0V    
Y0.5V   400  2.602 ...     ...   ...    ...    ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ...    ...   -0.6   22.0   21.6    ...     3.9    ...    ...      ...  ...  ...  ...   Y0.5V 
Y1V     360  2.556 ...     ...   ...    ...    ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ...    ...    ...   22.7   22.2    ...     4.1    ...    ...      ...  ...  ...  ...   Y1V    
Y1.5V   325  2.512 ...     ...   ...    ...    ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ...    ...   -0.8   23.2   22.9    ...     4.4    ...    ...      ...  ...  ...  ...   Y1.5V 
Y2V     320  2.505 ...     ...   ...    ...    ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ...    ...    ...   23.6   23.5    ...     4.7    ...    ...      ...  ...  ...  ...   Y2V    
Y4V     250  2.398 ...     ...   ...    ...    ...    ...    ...    ...    ...    ...     ...   ...    ...    ...    ...    ....   ...    ...   28.2   ...     ...     6.1    ...    ...      ...  ...  ...  ...   Y4V
